model_tag,protocol,feature_set,class,support,recall
qwen3_8b,leave_one_prompt::TR05,full,monarch,193,0.943005
qwen3_8b,leave_one_prompt::TR08,full,banded,9,0.777778
qwen3_8b,leave_one_prompt::TR08,full,lowrank,937,0.96905
qwen3_8b,leave_one_prompt::TR08,full,monarch,206,0.946602
qwen3_8b,leave_one_prompt_macro,full,banded,206,0.966019
qwen3_8b,leave_one_prompt_macro,full,lowrank,11931,0.965803
qwen3_8b,leave_one_prompt_macro,full,monarch,1687,0.889152
qwen3_8b,group_split_by_model_task_layer,no_seq_len,banded,64,0.953125
qwen3_8b,group_split_by_model_task_layer,no_seq_len,lowrank,2893,0.955064
qwen3_8b,group_split_by_model_task_layer,no_seq_len,monarch,499,0.851703
qwen3_8b,leave_one_prompt::BZ01,no_seq_len,banded,22,1.0
qwen3_8b,leave_one_prompt::BZ01,no_seq_len,lowrank,1027,0.963973
qwen3_8b,leave_one_prompt::BZ01,no_seq_len,monarch,103,0.796117
qwen3_8b,leave_one_prompt::BZ02,no_seq_len,banded,24,0.916667
qwen3_8b,leave_one_prompt::BZ02,no_seq_len,lowrank,1023,0.964809
qwen3_8b,leave_one_prompt::BZ02,no_seq_len,monarch,105,0.809524
qwen3_8b,leave_one_prompt::BZ05,no_seq_len,banded,21,1.0
qwen3_8b,leave_one_prompt::BZ05,no_seq_len,lowrank,1011,0.974283
qwen3_8b,leave_one_prompt::BZ05,no_seq_len,monarch,120,0.8
qwen3_8b,leave_one_prompt::BZ09,no_seq_len,banded,18,1.0
qwen3_8b,leave_one_prompt::BZ09,no_seq_len,lowrank,1014,0.968442
qwen3_8b,leave_one_prompt::BZ09,no_seq_len,monarch,120,0.833333
qwen3_8b,leave_one_prompt::TC01,no_seq_len,banded,22,1.0
qwen3_8b,leave_one_prompt::TC01,no_seq_len,lowrank,1025,0.963902
qwen3_8b,leave_one_prompt::TC01,no_seq_len,monarch,105,0.790476
qwen3_8b,leave_one_prompt::TC02,no_seq_len,banded,19,1.0
qwen3_8b,leave_one_prompt::TC02,no_seq_len,lowrank,1015,0.963547
qwen3_8b,leave_one_prompt::TC02,no_seq_len,monarch,118,0.830508
qwen3_8b,leave_one_prompt::TC08,no_seq_len,banded,20,1.0
qwen3_8b,leave_one_prompt::TC08,no_seq_len,lowrank,1012,0.971344
qwen3_8b,leave_one_prompt::TC08,no_seq_len,monarch,120,0.825
qwen3_8b,leave_one_prompt::TC10,no_seq_len,banded,19,0.947368
qwen3_8b,leave_one_prompt::TC10,no_seq_len,lowrank,1018,0.958743
qwen3_8b,leave_one_prompt::TC10,no_seq_len,monarch,115,0.808696
qwen3_8b,leave_one_prompt::TR01,no_seq_len,banded,10,1.0
qwen3_8b,leave_one_prompt::TR01,no_seq_len,lowrank,947,0.967265
qwen3_8b,leave_one_prompt::TR01,no_seq_len,monarch,195,0.94359
qwen3_8b,leave_one_prompt::TR02,no_seq_len,banded,12,0.916667
qwen3_8b,leave_one_prompt::TR02,no_seq_len,lowrank,953,0.96957
qwen3_8b,leave_one_prompt::TR02,no_seq_len,monarch,187,0.967914
qwen3_8b,leave_one_prompt::TR05,no_seq_len,banded,10,0.9
qwen3_8b,leave_one_prompt::TR05,no_seq_len,lowrank,949,0.956797
qwen3_8b,leave_one_prompt::TR05,no_seq_len,monarch,193,0.963731
qwen3_8b,leave_one_prompt::TR08,no_seq_len,banded,9,0.555556
qwen3_8b,leave_one_prompt::TR08,no_seq_len,lowrank,937,0.970117
qwen3_8b,leave_one_prompt::TR08,no_seq_len,monarch,206,0.956311
qwen3_8b,leave_one_prompt_macro,no_seq_len,banded,206,0.956311
qwen3_8b,leave_one_prompt_macro,no_seq_len,lowrank,11931,0.966055
qwen3_8b,leave_one_prompt_macro,no_seq_len,monarch,1687,0.879668
