model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,17,0,509,194.961,1.7924,0.5579,0.669,0.2279,110.4837,travel,lowrank,16,0.521848,0.978487,gemma3_4b::TR01::17
gemma3_4b,TR01,17,1,509,208.2971,1.24,0.8064,0.8556,0.1702,117.6223,travel,lowrank,16,0.345123,0.709408,gemma3_4b::TR01::17
gemma3_4b,TR01,17,2,509,150.4892,1.4403,0.6943,0.7912,0.1528,120.9774,travel,lowrank,16,0.428633,0.832542,gemma3_4b::TR01::17
gemma3_4b,TR01,17,3,509,247.5196,1.5939,0.6274,0.6708,0.2919,115.2126,travel,lowrank,16,0.556764,1.090972,gemma3_4b::TR01::17
gemma3_4b,TR01,17,4,509,82.9282,1.0769,0.9286,0.9525,0.102,159.8256,travel,lowrank,16,0.221872,0.510813,gemma3_4b::TR01::17
gemma3_4b,TR01,17,5,509,43.0039,1.0348,0.9664,0.9775,0.062,206.2199,travel,lowrank,16,0.168107,0.357789,gemma3_4b::TR01::17
gemma3_4b,TR01,17,6,509,77.8236,1.043,0.9588,0.973,0.0636,173.6381,travel,lowrank,16,0.160898,0.421384,gemma3_4b::TR01::17
gemma3_4b,TR01,17,7,509,62.5413,1.0919,0.9158,0.9594,0.0843,157.3511,travel,lowrank,16,0.146618,0.336343,gemma3_4b::TR01::17
gemma3_4b,TR01,18,0,509,134.676,1.1359,0.8804,0.8999,0.2437,153.7343,travel,lowrank,16,0.380692,0.965979,gemma3_4b::TR01::18
gemma3_4b,TR01,18,1,509,151.5531,1.2739,0.785,0.8145,0.1994,126.2312,travel,lowrank,16,0.513106,1.241612,gemma3_4b::TR01::18
gemma3_4b,TR01,18,2,509,217.5588,1.3222,0.7563,0.7854,0.2724,103.6696,travel,lowrank,16,0.450503,0.974622,gemma3_4b::TR01::18
gemma3_4b,TR01,18,3,509,208.0872,1.4226,0.703,0.7417,0.3784,80.7879,travel,monarch,2,0.457773,3.88292,gemma3_4b::TR01::18
gemma3_4b,TR01,18,4,509,272.8484,1.5633,0.6397,0.6649,0.4532,130.6776,travel,lowrank,16,0.620496,1.991564,gemma3_4b::TR01::18
