task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,22,3,509,321.3349,1.9539,0.5118,0.5415,0.5585,98.3899
TR01,travel,gemma3_4b,22,4,509,395.1058,1.8651,0.5362,0.5558,0.382,105.4129
TR01,travel,gemma3_4b,22,5,509,209.852,1.4777,0.6767,0.7666,0.2531,102.4098
TR01,travel,gemma3_4b,22,6,509,160.2955,1.1412,0.8762,0.8965,0.2364,132.5268
TR01,travel,gemma3_4b,22,7,509,235.1961,1.256,0.7962,0.824,0.2276,119.6115
TR01,travel,gemma3_4b,23,0,509,59.544,1.0451,0.9569,0.9697,0.0675,189.0941
TR01,travel,gemma3_4b,23,1,509,78.839,1.0941,0.914,0.93,0.0589,191.1152
TR01,travel,gemma3_4b,23,2,509,170.3879,1.2283,0.8141,0.8473,0.1953,117.7952
TR01,travel,gemma3_4b,23,3,509,104.2105,1.0941,0.914,0.9409,0.1034,163.6386
TR01,travel,gemma3_4b,23,4,509,15.6815,1.0068,0.9932,0.9967,0.0374,214.334
TR01,travel,gemma3_4b,23,5,509,93.4761,1.0528,0.9498,0.9628,0.1814,189.8434
TR01,travel,gemma3_4b,23,6,509,39.6664,1.0206,0.9799,0.9864,0.0765,212.3655
TR01,travel,gemma3_4b,23,7,509,32.5952,1.0208,0.9796,0.9874,0.0541,222.8188
TR01,travel,gemma3_4b,24,0,509,64.4806,1.052,0.9506,0.9757,0.1172,142.8699
TR01,travel,gemma3_4b,24,1,509,74.0191,1.0801,0.9259,0.966,0.1242,163.7036
TR01,travel,gemma3_4b,24,2,509,67.806,1.0664,0.9378,0.9558,0.1102,189.5156
TR01,travel,gemma3_4b,24,3,509,59.5618,1.0637,0.9401,0.956,0.074,191.6389
TR01,travel,gemma3_4b,24,4,509,130.9483,1.0749,0.9303,0.9408,0.2044,158.5229
TR01,travel,gemma3_4b,24,5,509,104.105,1.0535,0.9492,0.9601,0.1651,156.3637
TR01,travel,gemma3_4b,24,6,509,206.1518,1.1882,0.8416,0.859,0.3191,140.067
TR01,travel,gemma3_4b,24,7,509,100.7569,1.032,0.969,0.975,0.1423,191.5553
TR01,travel,gemma3_4b,25,0,509,93.2777,1.1068,0.9035,0.9263,0.1033,174.2159
TR01,travel,gemma3_4b,25,1,509,36.2218,1.0265,0.9741,0.9838,0.0629,193.1329
TR01,travel,gemma3_4b,25,2,509,72.0321,1.0163,0.984,0.9863,0.1116,188.7198
TR01,travel,gemma3_4b,25,3,509,195.3303,1.2737,0.7851,0.8124,0.3442,129.0674
TR01,travel,gemma3_4b,25,4,509,199.4352,1.2082,0.8277,0.8489,0.2269,154.303
TR01,travel,gemma3_4b,25,5,509,67.2396,1.0368,0.9645,0.9731,0.1139,198.6205
TR01,travel,gemma3_4b,25,6,509,49.0986,1.0186,0.9818,0.9853,0.1112,207.9595
TR01,travel,gemma3_4b,25,7,509,78.9139,1.0616,0.942,0.9536,0.1683,200.9589
TR01,travel,gemma3_4b,26,0,509,17.8045,1.0053,0.9948,0.9966,0.0459,218.9319
TR01,travel,gemma3_4b,26,1,509,20.2372,1.0082,0.9919,0.9949,0.0462,214.7038
TR01,travel,gemma3_4b,26,2,509,34.3114,1.0301,0.9708,0.9886,0.0842,206.5012
