task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,ministral8b,8,4,667,228.8185,1.4543,0.6876,0.7207,0.2277,150.7885
TR01,travel,ministral8b,8,5,667,99.3219,1.0937,0.9144,0.951,0.0668,200.7426
TR01,travel,ministral8b,8,6,667,127.142,1.1745,0.8514,0.8956,0.1361,210.0506
TR01,travel,ministral8b,8,7,667,152.1547,1.1619,0.8606,0.9054,0.0864,201.4328
TR01,travel,ministral8b,8,8,667,134.8217,1.0902,0.9172,0.9399,0.1375,181.5369
TR01,travel,ministral8b,8,9,667,290.6926,1.1756,0.8506,0.8746,0.2136,153.5457
TR01,travel,ministral8b,8,10,667,190.0923,1.3789,0.7252,0.8061,0.2136,150.6637
TR01,travel,ministral8b,8,11,667,135.9359,1.1352,0.8809,0.9124,0.1524,184.3786
TR01,travel,ministral8b,8,12,667,150.1562,1.067,0.9372,0.9494,0.185,213.1335
TR01,travel,ministral8b,8,13,667,150.0466,1.1019,0.9076,0.9265,0.2049,214.0524
TR01,travel,ministral8b,8,14,667,157.0192,1.0527,0.9499,0.9581,0.1871,228.5877
TR01,travel,ministral8b,8,15,667,63.1573,1.036,0.9653,0.9792,0.0934,234.8721
TR01,travel,ministral8b,8,16,667,236.706,1.614,0.6196,0.76,0.2522,212.4238
TR01,travel,ministral8b,8,17,667,78.6775,1.294,0.7728,0.9659,0.0522,283.5977
TR01,travel,ministral8b,8,18,667,227.8177,1.3195,0.7579,0.845,0.2381,190.3318
TR01,travel,ministral8b,8,19,667,249.7723,1.3061,0.7656,0.9182,0.1555,198.5107
TR01,travel,ministral8b,8,20,667,125.1936,1.1081,0.9025,0.9662,0.1346,247.4046
TR01,travel,ministral8b,8,21,667,66.3777,1.0973,0.9113,0.9713,0.0597,196.7971
TR01,travel,ministral8b,8,22,667,76.7198,1.0815,0.9246,0.976,0.0816,196.7855
TR01,travel,ministral8b,8,23,667,74.8355,1.1131,0.8984,0.9739,0.0972,220.4214
TR01,travel,ministral8b,8,24,667,425.9361,1.1183,0.8942,0.9131,0.2109,221.5117
TR01,travel,ministral8b,8,25,667,6.5728,1.0109,0.9893,0.9994,0.0268,283.0941
TR01,travel,ministral8b,8,26,667,60.2845,1.1064,0.9038,0.9907,0.0955,263.4487
